keyword,volume,cpc,ads_competition,intent,cluster,relevance,business_value,priority,coverage,existing_route,brand_category_gap,recommended_action,target_url,trend_change
radial piston motor supplier,0,0,0,Transactional,"Hydraulic Motors",3,5,C,dedicated,/products/hydraulic-motors/radial-piston-motors/,,"Optimize existing page",/products/hydraulic-motors/radial-piston-motors/,0.000
radial piston motor manufacturer,0,0,0,Transactional,"Hydraulic Motors",3,5,B,title-partial,/products/hydraulic-motors/radial-piston-motors/,,"Optimize title/H1",/products/hydraulic-motors/radial-piston-motors/,0.000
radial piston motor replacement,0,0,0,Commercial,"Replacement & Cross-reference",3,5,B,title-partial,/products/hydraulic-motors/radial-piston-motors/,,"Optimize title/H1",/products/hydraulic-motors/radial-piston-motors/,0.000
radial piston motor aftermarket,0,0,0,Commercial,"Replacement & Cross-reference",3,5,B,title-partial,/products/hydraulic-motors/radial-piston-motors/,,"Optimize title/H1",/products/hydraulic-motors/radial-piston-motors/,0.000
radial piston motor in stock,0,0,0,Transactional,"Hydraulic Motors",3,5,B,title-partial,/products/hydraulic-motors/radial-piston-motors/,,"Optimize title/H1",/products/hydraulic-motors/radial-piston-motors/,0.000
hydraulic valve,2400,0.38,1,Product research,"Hydraulic Valves",5,4,B,dedicated,/products/hydraulic-valves/,,"Optimize existing page",/products/hydraulic-valves/,-0.180
hydraulic valve supplier,110,1.19,0.48,Transactional,"Hydraulic Valves",5,5,A,title-partial,/products/hydraulic-valves/,,"Optimize title/H1",/products/hydraulic-valves/,-0.552
hydraulic valve manufacturer,110,1.19,0.48,Transactional,"Hydraulic Valves",5,5,A,dedicated,/products/hydraulic-valves/,,"Optimize existing page",/products/hydraulic-valves/,-0.552
hydraulic valve replacement,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,body-partial,/products/hydraulic-valves/,,"Optimize title/H1",/products/hydraulic-valves/,0.000
hydraulic valve aftermarket,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,unmentioned,/products/hydraulic-valves/,,"Add keyword coverage + internal links",/products/hydraulic-valves/,0.000
hydraulic valve in stock,0,0,0,Transactional,"Hydraulic Valves",5,5,B,unmentioned,/products/hydraulic-valves/,,"Add keyword coverage + internal links",/products/hydraulic-valves/,0.000
directional control valve,1600,0.98,1,Product research,"Hydraulic Valves",5,4,B,dedicated,/products/hydraulic-valves/solenoid-directional-valves/,,"Optimize existing page",/products/hydraulic-valves/solenoid-directional-valves/,-0.417
directional control valve supplier,10,0,0.29,Transactional,"Hydraulic Valves",5,5,B,title-partial,/products/hydraulic-valves/solenoid-directional-valves/,,"Optimize title/H1",/products/hydraulic-valves/solenoid-directional-valves/,-0.333
directional control valve manufacturer,10,0,0.29,Transactional,"Hydraulic Valves",5,5,B,dedicated,/products/hydraulic-valves/solenoid-directional-valves/,,"Optimize existing page",/products/hydraulic-valves/solenoid-directional-valves/,-0.333
directional control valve replacement,0,0,0,Commercial,"Replacement & Cross-reference",5,5,C,title-partial,/products/hydraulic-valves/solenoid-directional-valves/,,"Optimize title/H1",/products/hydraulic-valves/solenoid-directional-valves/,0.000
directional control valve aftermarket,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,title-partial,/products/hydraulic-valves/solenoid-directional-valves/,,"Optimize title/H1",/products/hydraulic-valves/solenoid-directional-valves/,0.000
directional control valve in stock,0,0,0,Transactional,"Hydraulic Valves",5,5,B,title-partial,/products/hydraulic-valves/solenoid-directional-valves/,,"Optimize title/H1",/products/hydraulic-valves/solenoid-directional-valves/,0.000
solenoid directional valve,70,1.21,0.98,Product research,"Hydraulic Valves",3,4,B,title-partial,/products/hydraulic-valves/solenoid-directional-valves/,,"Optimize title/H1",/products/hydraulic-valves/solenoid-directional-valves/,-0.023
solenoid directional valve supplier,0,0,0,Transactional,"Hydraulic Valves",3,5,B,body-partial,/products/hydraulic-valves/solenoid-directional-valves/,,"Optimize title/H1",/products/hydraulic-valves/solenoid-directional-valves/,0.000
solenoid directional valve manufacturer,0,0,0,Transactional,"Hydraulic Valves",3,5,B,title-partial,/products/hydraulic-valves/solenoid-directional-valves/,,"Optimize title/H1",/products/hydraulic-valves/solenoid-directional-valves/,0.000
solenoid directional valve replacement,0,0,0,Commercial,"Replacement & Cross-reference",3,5,B,body-partial,/products/hydraulic-valves/solenoid-directional-valves/,,"Optimize title/H1",/products/hydraulic-valves/solenoid-directional-valves/,0.000
solenoid directional valve aftermarket,0,0,0,Commercial,"Replacement & Cross-reference",3,5,B,body-partial,/products/hydraulic-valves/solenoid-directional-valves/,,"Optimize title/H1",/products/hydraulic-valves/solenoid-directional-valves/,0.000
solenoid directional valve in stock,0,0,0,Transactional,"Hydraulic Valves",3,5,B,body-partial,/products/hydraulic-valves/solenoid-directional-valves/,,"Optimize title/H1",/products/hydraulic-valves/solenoid-directional-valves/,0.000
pressure control valve,1300,0.97,0.92,Product research,"Hydraulic Valves",5,4,B,dedicated,/products/hydraulic-valves/pressure-control-valves/,,"Optimize existing page",/products/hydraulic-valves/pressure-control-valves/,-0.200
pressure control valve supplier,10,0,0.33,Transactional,"Hydraulic Valves",5,5,B,dedicated,/products/hydraulic-valves/pressure-control-valves/,,"Optimize existing page",/products/hydraulic-valves/pressure-control-valves/,0.091
pressure control valve manufacturer,10,0,0.07,Transactional,"Hydraulic Valves",5,5,B,title-partial,/products/hydraulic-valves/pressure-control-valves/,,"Optimize title/H1",/products/hydraulic-valves/pressure-control-valves/,0.091
pressure control valve replacement,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,title-partial,/products/hydraulic-valves/pressure-control-valves/,,"Optimize title/H1",/products/hydraulic-valves/pressure-control-valves/,0.000
pressure control valve aftermarket,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,title-partial,/products/hydraulic-valves/pressure-control-valves/,,"Optimize title/H1",/products/hydraulic-valves/pressure-control-valves/,0.000
pressure control valve in stock,0,0,0,Transactional,"Hydraulic Valves",5,5,B,title-partial,/products/hydraulic-valves/pressure-control-valves/,,"Optimize title/H1",/products/hydraulic-valves/pressure-control-valves/,0.000
modular hydraulic valve,0,0,0,Product research,"Hydraulic Valves",5,4,C,body-partial,/products/hydraulic-valves/modular-valves/,,"Optimize title/H1",/products/hydraulic-valves/modular-valves/,0.000
modular hydraulic valve supplier,0,0,0,Transactional,"Hydraulic Valves",5,5,B,title-partial,/products/hydraulic-valves/modular-valves/,,"Optimize title/H1",/products/hydraulic-valves/modular-valves/,0.000
modular hydraulic valve manufacturer,0,0,0,Transactional,"Hydraulic Valves",5,5,B,body-partial,/products/hydraulic-valves/modular-valves/,,"Optimize title/H1",/products/hydraulic-valves/modular-valves/,0.000
modular hydraulic valve replacement,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,body-partial,/products/hydraulic-valves/modular-valves/,,"Optimize title/H1",/products/hydraulic-valves/modular-valves/,0.000
modular hydraulic valve aftermarket,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,body-partial,/products/hydraulic-valves/modular-valves/,,"Optimize title/H1",/products/hydraulic-valves/modular-valves/,0.000
modular hydraulic valve in stock,0,0,0,Transactional,"Hydraulic Valves",5,5,B,body-partial,/products/hydraulic-valves/modular-valves/,,"Optimize title/H1",/products/hydraulic-valves/modular-valves/,0.000
hydraulic cylinder,14800,0.41,1,Product research,"Hydraulic Cylinders",5,4,B,dedicated,/products/hydraulic-cylinders/,,"Optimize existing page",/products/hydraulic-cylinders/,-0.100
hydraulic cylinder supplier,590,1.85,0.27,Transactional,"Hydraulic Cylinders",5,5,A,title-partial,/products/hydraulic-cylinders/,,"Optimize title/H1",/products/hydraulic-cylinders/,-0.086
hydraulic cylinder manufacturer,590,1.85,0.27,Transactional,"Hydraulic Cylinders",5,5,A,dedicated,/products/hydraulic-cylinders/,,"Optimize existing page",/products/hydraulic-cylinders/,-0.086
hydraulic cylinder replacement,320,0.39,0.99,Commercial,"Replacement & Cross-reference",5,5,A,body-partial,/products/hydraulic-cylinders/,,"Optimize title/H1",/products/hydraulic-cylinders/,0.021
hydraulic cylinder aftermarket,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,unmentioned,/products/hydraulic-cylinders/,,"Add keyword coverage + internal links",/products/hydraulic-cylinders/,0.000
hydraulic cylinder in stock,0,0,0,Transactional,"Hydraulic Cylinders",5,5,B,unmentioned,/products/hydraulic-cylinders/,,"Add keyword coverage + internal links",/products/hydraulic-cylinders/,0.000
custom hydraulic cylinder,210,1.95,0.7,Product research,"Hydraulic Cylinders",5,4,B,dedicated,/products/hydraulic-cylinders/custom-hydraulic-cylinders/,,"Optimize existing page",/products/hydraulic-cylinders/custom-hydraulic-cylinders/,-0.270
custom hydraulic cylinder supplier,0,0,0,Transactional,"Hydraulic Cylinders",5,5,B,title-partial,/products/hydraulic-cylinders/custom-hydraulic-cylinders/,,"Optimize title/H1",/products/hydraulic-cylinders/custom-hydraulic-cylinders/,0.000
custom hydraulic cylinder manufacturer,40,2.62,0.8,Transactional,"Hydraulic Cylinders",5,5,A,dedicated,/products/hydraulic-cylinders/custom-hydraulic-cylinders/,,"Optimize existing page",/products/hydraulic-cylinders/custom-hydraulic-cylinders/,-0.294
custom hydraulic cylinder replacement,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,title-partial,/products/hydraulic-cylinders/custom-hydraulic-cylinders/,,"Optimize title/H1",/products/hydraulic-cylinders/custom-hydraulic-cylinders/,0.000
custom hydraulic cylinder aftermarket,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,title-partial,/products/hydraulic-cylinders/custom-hydraulic-cylinders/,,"Optimize title/H1",/products/hydraulic-cylinders/custom-hydraulic-cylinders/,0.000
custom hydraulic cylinder in stock,0,0,0,Transactional,"Hydraulic Cylinders",5,5,B,title-partial,/products/hydraulic-cylinders/custom-hydraulic-cylinders/,,"Optimize title/H1",/products/hydraulic-cylinders/custom-hydraulic-cylinders/,0.000
hydraulic seal kit,320,0.6,1,Commercial,"Repair Kits & Service Parts",5,5,A,dedicated,/products/hydraulic-repair-kits/,,"Optimize existing page",/products/hydraulic-repair-kits/,-0.005
hydraulic seal kit supplier,0,0,0,Transactional,"Repair Kits & Service Parts",5,5,B,title-partial,/products/hydraulic-repair-kits/,,"Optimize title/H1",/products/hydraulic-repair-kits/,0.000
hydraulic seal kit manufacturer,0,0,0,Transactional,"Repair Kits & Service Parts",5,5,B,title-partial,/products/hydraulic-repair-kits/,,"Optimize title/H1",/products/hydraulic-repair-kits/,0.000
hydraulic seal kit replacement,0,0,0,Commercial,"Repair Kits & Service Parts",5,5,B,title-partial,/products/hydraulic-repair-kits/,,"Optimize title/H1",/products/hydraulic-repair-kits/,0.000
hydraulic seal kit aftermarket,0,0,0,Commercial,"Repair Kits & Service Parts",5,5,B,title-partial,/products/hydraulic-repair-kits/,,"Optimize title/H1",/products/hydraulic-repair-kits/,0.000
hydraulic seal kit in stock,0,0,0,Transactional,"Repair Kits & Service Parts",5,5,B,title-partial,/products/hydraulic-repair-kits/,,"Optimize title/H1",/products/hydraulic-repair-kits/,0.000
hydraulic repair kit,140,0.27,0.85,Commercial,"Repair Kits & Service Parts",5,5,B,title-partial,/products/hydraulic-repair-kits/,,"Optimize title/H1",/products/hydraulic-repair-kits/,0.084
hydraulic repair kit supplier,0,0,0,Transactional,"Repair Kits & Service Parts",5,5,B,title-partial,/products/hydraulic-repair-kits/,,"Optimize title/H1",/products/hydraulic-repair-kits/,0.000
hydraulic repair kit manufacturer,0,0,0,Transactional,"Repair Kits & Service Parts",5,5,B,title-partial,/products/hydraulic-repair-kits/,,"Optimize title/H1",/products/hydraulic-repair-kits/,0.000
hydraulic repair kit replacement,0,0,0,Commercial,"Repair Kits & Service Parts",5,5,B,title-partial,/products/hydraulic-repair-kits/,,"Optimize title/H1",/products/hydraulic-repair-kits/,0.000
hydraulic repair kit aftermarket,0,0,0,Commercial,"Repair Kits & Service Parts",5,5,B,title-partial,/products/hydraulic-repair-kits/,,"Optimize title/H1",/products/hydraulic-repair-kits/,0.000
hydraulic repair kit in stock,0,0,0,Transactional,"Repair Kits & Service Parts",5,5,B,title-partial,/products/hydraulic-repair-kits/,,"Optimize title/H1",/products/hydraulic-repair-kits/,0.000
hydraulic pump parts supplier,10,0,0,Transactional,"Hydraulic Pumps",5,5,B,title-partial,/products/hydraulic-pumps/,,"Optimize title/H1",/products/hydraulic-pumps/,-0.200
hydraulic pump parts manufacturer,10,0,0.22,Transactional,"Hydraulic Pumps",5,5,B,title-partial,/products/hydraulic-pumps/,,"Optimize title/H1",/products/hydraulic-pumps/,-0.143
hydraulic pump parts replacement,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,body-partial,/products/hydraulic-pumps/,,"Optimize title/H1",/products/hydraulic-pumps/,0.000
hydraulic pump parts aftermarket,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,body-partial,/products/hydraulic-pumps/,,"Optimize title/H1",/products/hydraulic-pumps/,0.000
hydraulic pump parts in stock,0,0,0,Transactional,"Hydraulic Pumps",5,5,B,body-partial,/products/hydraulic-pumps/,,"Optimize title/H1",/products/hydraulic-pumps/,0.000
hydraulic motor parts,70,1.36,0.84,Commercial,"Hydraulic Motors",5,5,B,body-only,/products/hydraulic-motors/,,"Optimize title/H1",/products/hydraulic-motors/,-0.586
hydraulic motor parts supplier,0,0,0,Transactional,"Hydraulic Motors",5,5,B,title-partial,/products/hydraulic-motors/,,"Optimize title/H1",/products/hydraulic-motors/,0.000
hydraulic motor parts manufacturer,0,0,0,Transactional,"Hydraulic Motors",5,5,B,title-partial,/products/hydraulic-motors/,,"Optimize title/H1",/products/hydraulic-motors/,0.000
hydraulic motor parts replacement,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,body-partial,/products/hydraulic-motors/,,"Optimize title/H1",/products/hydraulic-motors/,0.000
hydraulic motor parts aftermarket,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,body-partial,/products/hydraulic-motors/,,"Optimize title/H1",/products/hydraulic-motors/,0.000
hydraulic motor parts in stock,0,0,0,Transactional,"Hydraulic Motors",5,5,B,body-partial,/products/hydraulic-motors/,,"Optimize title/H1",/products/hydraulic-motors/,0.000
hydraulic valve parts,70,0.25,0.99,Commercial,"Hydraulic Valves",5,5,B,body-only,/products/hydraulic-valves/,,"Optimize title/H1",/products/hydraulic-valves/,0.174
hydraulic valve parts supplier,0,0,0,Transactional,"Hydraulic Valves",5,5,B,title-partial,/products/hydraulic-valves/,,"Optimize title/H1",/products/hydraulic-valves/,0.000
hydraulic valve parts manufacturer,0,0,0,Transactional,"Hydraulic Valves",5,5,B,title-partial,/products/hydraulic-valves/,,"Optimize title/H1",/products/hydraulic-valves/,0.000
hydraulic valve parts replacement,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,body-partial,/products/hydraulic-valves/,,"Optimize title/H1",/products/hydraulic-valves/,0.000
hydraulic valve parts aftermarket,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,body-partial,/products/hydraulic-valves/,,"Optimize title/H1",/products/hydraulic-valves/,0.000
hydraulic valve parts in stock,0,0,0,Transactional,"Hydraulic Valves",5,5,B,body-partial,/products/hydraulic-valves/,,"Optimize title/H1",/products/hydraulic-valves/,0.000
bosch rexroth hydraulic pump,720,1.07,1,Product research,"Hydraulic Pumps",5,4,A,dedicated,/brands/bosch-rexroth/hydraulic-pumps/,"bosch rexroth ? pump","Optimize existing page",/brands/bosch-rexroth/hydraulic-pumps/,-0.042
bosch rexroth hydraulic motor,110,0.97,0.92,Product research,"Hydraulic Motors",5,4,B,dedicated,/brands/bosch-rexroth/hydraulic-motors/,"bosch rexroth ? motor","Optimize existing page",/brands/bosch-rexroth/hydraulic-motors/,-0.150
bosch rexroth hydraulic valve,0,0,0,Product research,"Hydraulic Valves",5,4,C,dedicated,/brands/bosch-rexroth/hydraulic-valves/,"bosch rexroth ? valve","Optimize existing page",/brands/bosch-rexroth/hydraulic-valves/,0.000
bosch rexroth replacement,0,0,0,Commercial,"Replacement & Cross-reference",4,5,B,title-partial,/brands/bosch-rexroth/,,"Optimize title/H1",/brands/bosch-rexroth/,0.000
bosch rexroth parts,90,1.15,0.67,Commercial,"Brand Coverage",4,5,A,unmentioned,/brands/bosch-rexroth/hydraulic-repair-kits/,"bosch rexroth ? parts","Add keyword coverage + internal links",/brands/bosch-rexroth/hydraulic-repair-kits/,-0.250
eaton vickers hydraulic pump,390,1.14,1,Product research,"Hydraulic Pumps",5,4,A,unmentioned,/brands/eaton-vickers/hydraulic-pumps/,"eaton vickers ? pump","Add keyword coverage + internal links",/brands/eaton-vickers/hydraulic-pumps/,-0.127
eaton vickers hydraulic motor,0,0,0,Product research,"Hydraulic Motors",5,4,C,brand-category-gap,/products/hydraulic-motors/,"eaton vickers ? motor","Create brand?category page",/brands/eaton-vickers/motor/,0.000
eaton vickers hydraulic valve,0,0,0,Product research,"Hydraulic Valves",5,4,C,unmentioned,/brands/eaton-vickers/hydraulic-valves/,"eaton vickers ? valve","Add keyword coverage + internal links",/brands/eaton-vickers/hydraulic-valves/,0.000
eaton vickers replacement,0,0,0,Commercial,"Replacement & Cross-reference",4,5,B,title-partial,/brands/eaton-vickers/,,"Optimize title/H1",/brands/eaton-vickers/,0.000
eaton vickers parts,10,0,0.2,Commercial,"Brand Coverage",4,5,B,unmentioned,/brands/eaton-vickers/hydraulic-repair-kits/,"eaton vickers ? parts","Add keyword coverage + internal links",/brands/eaton-vickers/hydraulic-repair-kits/,0.333
parker hydraulic pump,1300,1.24,0.98,Product research,"Hydraulic Pumps",5,4,A,dedicated,/brands/parker/hydraulic-pumps/,"parker ? pump","Optimize existing page",/brands/parker/hydraulic-pumps/,-0.048
parker hydraulic motor,390,1.09,1,Product research,"Hydraulic Motors",5,4,A,dedicated,/brands/parker/hydraulic-motors/,"parker ? motor","Optimize existing page",/brands/parker/hydraulic-motors/,-0.088
